filename, AP_half_width, AP_peak, AP_amp, AP_rise_time, AP_thresh, rheobase, max_IFF, max_SSFF, SFA10, SFAn
JM20190402_0005.abf, 0.9800000000000086, 36.07177734375, 68.756103515625, 0.6200000000000094, -32.684326171875, 40.42168426513672, 129.87012987013014, 49.793449395101796, (0.4046653144016229, 0.3407344150298885)
JM20190402_0012.abf, 0.7600000000000107, 45.8984375, 82.6416015625, 0.4599999999999882, -36.7431640625, 60.820655822753906, 147.4926253687317, 57.180482395342395, (0.45235361653272116, 0.4421997755331101)
JM20190402_0019.abf, 0.8199999999999874, 39.4287109375, 77.423095703125, 0.47999999999998044, -37.994384765625, 40.48577880859375, 157.23270440251562, 60.034305317324176, (0.37668161434977476, 0.40628778718258707)
JM20190402_0026.abf, 0.7800000000000029, 35.736083984375, 64.453125, 0.5400000000000404, -28.717041015625, 19.786828994750977, 98.61932938856006, 36.52427994990955, (0.4786264891380519, 0.6682974559686886)
JM20190402_0033.abf, 0.6999999999999784, 52.154541015625, 75.408935546875, 0.6400000000000017, -23.25439453125, 60.61648941040039, 129.53367875647706, 55.99864245715254, (0.4087301587301584, 0.45828698553948544)
JM20190402_0040.abf, 0.7000000000000062, 46.69189453125, 76.11083984375, 0.6200000000000094, -29.4189453125, 40.519927978515625, 108.22510822510824, 48.101700738704686, (0.48255813953488247, 0.536637931034482)
JM20190402_0048.abf, 0.8599999999999719, 36.590576171875, 61.5234375, 0.7400000000000184, -24.932861328125, 20.00107192993164, 58.89281507656068, 36.56880158813081, (0.7443491816056116, 0.8925233644859827)
JM20190402_0055.abf, 0.7399999999999907, 45.013427734375, 77.0263671875, 0.47999999999998044, -32.012939453125, 40.48241424560547, 114.15525114155264, 53.89804576117949, (0.48767967145790464, 0.5885997521685243)
JM20190403_0006.abf, 0.7000000000000062, 44.7998046875, 99.67041015625, 0.5000000000000004, -54.87060546875, 60.405616760253906, 243.90243902439067, 70.5621450892107, (0.38961038961038874, 0.2134146341463409)
JM20190403_0013.abf, 0.6999999999999784, 45.8984375, 87.982177734375, 0.46000000000001595, -42.083740234375, 60.63349533081055, 149.7005988023954, 57.88219271365338, (0.4573829531812732, 0.3677606177606192)
JM20190403_0020.abf, 0.8000000000000229, 42.938232421875, 76.995849609375, 0.5000000000000004, -34.0576171875, 60.46966552734375, 167.22408026755895, 54.73453749315818, (0.32696390658174146, 0.2543352601156067)
JM20190403_0028.abf, 0.8600000000000274, 49.1943359375, 78.826904296875, 0.5400000000000404, -29.632568359375, 40.54690933227539, 131.57894736842113, 54.050401999864874, (0.4420062695924752, 0.44999999999999885)
JM20190403_0035.abf, 0.7800000000000029, 48.492431640625, 84.625244140625, 0.4800000000000082, -36.1328125, 60.63568878173828, 185.87360594795553, 79.85320602127152, (0.46890756302521047, 0.3997134670487083)
JM20190403_0077.abf, 0.7599999999999829, 50.018310546875, 91.30859375, 0.46000000000001595, -41.290283203125, 60.63438415527344, 182.48175182481756, 77.20020586721563, (0.49910554561717513, 0.32631578947368506)
JM20211202_0000.abf, 0.8799999999999919, 30.21240234375, 67.901611328125, 0.5199999999999927, -37.689208984375, 40.36984634399414, 193.79844961240266, 163.93442622950835, (0.3705501618122975, 0.23415132924335355)
JM20211202_0001.abf, 0.7999999999999674, 47.943115234375, 87.95166015625, 0.47999999999998044, -40.008544921875, 40.291717529296875, 252.52525252525308, 38.771985478129075, (0.33021276595744725, 0.22703335283791748)
JM20211202_0002.abf, 0.7800000000000029, 50.10986328125, 91.949462890625, 0.5000000000000004, -41.839599609375, 60.61370086669922, 227.27272727272722, 47.90006131207848, (0.24410933081998115, 0.20637450199203194)
JM20211202_0003.abf, 0.7800000000000029, 50.933837890625, 93.109130859375, 0.46000000000001595, -42.17529296875, 40.30876922607422, 247.52475247524825, 52.85232038735636, (0.31719128329297774, 0.22053872053872028)
JM20211202_0005.abf, 0.8200000000000429, 53.40576171875, 85.9375, 0.5200000000000204, -32.53173828125, 80.49758911132812, 221.23893805309686, 63.835505980378976, (0.3448702101359704, 0.29903536977492134)
